accession	description	scientific_name	tax_id	tax_lineage	country	location	altitude	isolation_source	environmental_sample	host	host_tax_id	dev_stage	sex	tissue_type	collected_by	identified_by	collection_date	collection_date_start	collection_date_end	isolate	strain	sub_species	sub_strain	cultivar	ecotype	variety	specimen_voucher	culture_collection	bio_material	study_accession	sample_accession	secondary_sample_accession
KT921876	Klebsiella oxytoca clone H1g_15 GH18 chitinase-like superfamily protein gene, complete cds.	Klebsiella oxytoca	571	1;131567;2;3379134;1224;1236;91347;543;2890311;570;571					false												H1g											
KP748797	UNVERIFIED: Uncultured fungus clone DE4 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748799	UNVERIFIED: Uncultured fungus clone BB10 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KM221025	Ophiocordyceps sinensis strain CO18 glycoside hydrolase family 18 (GH18-3) mRNA, complete cds.	Ophiocordyceps sinensis	72228	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;474942;474995;72228					false												CO18											
KP748794	UNVERIFIED: Uncultured fungus clone DE3 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748796	UNVERIFIED: Uncultured fungus clone BB8 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748803	UNVERIFIED: Uncultured fungus clone BB15 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748807	UNVERIFIED: Uncultured fungus clone DE8 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
AY397531	HIV-1 strain S|GH18 from Ghana envelope glycoprotein (env) gene, partial cds.	Human immunodeficiency virus 1	11676	1;10239;2559587;2732397;2732409;2732514;2169561;11632;327045;1233735;11646;3418650;11676	Ghana				false												S|GH18											
KM221019	Hirsutella thompsonii strain MTCC3556 glycoside hydrolase family 18 (GH18-1) mRNA, complete cds.	Hirsutella thompsonii	42368	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715989;147550;222543;5125;474942;42367;42368					false												MTCC3556											
KP748795	UNVERIFIED: Uncultured fungus clone DE13 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748798	UNVERIFIED: Uncultured fungus clone DE5 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
KP748810	UNVERIFIED: Uncultured fungus clone BB17 glycosyl hydrolase 18-like (GH18) gene, partial sequence.	uncultured fungus	175245	1;131567;2759;33154;4751;57731;175245				soil	true																							
PV030902	Streptomyces sp. strain DCLA1 glycoside hydrolase family 18 protein (gh18) gene, partial cds.	Streptomyces sp.	1931	1;131567;2;1783272;201174;1760;85011;2062;1883;2593676;1931					false						Juri Saikia, Chandan Jyoti Baishya		Nov-2016	2016-11-01	2016-11-30		DCLA1											
LT903667	Streptomyces lasiicapitis partial GH18 gene for family 18 chitinase, Partial , isolate isolate#C1	Streptomyces lasiicapitis	1923961	1;131567;2;1783272;201174;1760;85011;2062;1883;1923961					false											isolate#C1										PRJEB21831		
PV030898	Streptomyces sp. strain DCRA2 glycoside hydrolase family 18 protein (gh18) gene, partial cds.	Streptomyces sp.	1931	1;131567;2;1783272;201174;1760;85011;2062;1883;2593676;1931					false						Juri Saikia, Chandan Jyoti Baishya		Nov-2016	2016-11-01	2016-11-30		DCRA2											
PV030910	Streptomyces sp. strain VCLA3 glycoside hydrolase family 18 protein (gh18) gene, partial cds.	Streptomyces sp.	1931	1;131567;2;1783272;201174;1760;85011;2062;1883;2593676;1931					false						Juri Saikia, Chandan Jyoti Baishya		Nov-2016	2016-11-01	2016-11-30		VCLA3											
PV030901	Streptomyces sp. strain RVRA7 glycoside hydrolase family 18 protein (gh18) gene, partial cds.	Streptomyces sp.	1931	1;131567;2;1783272;201174;1760;85011;2062;1883;2593676;1931					false						Juri Saikia, Chandan Jyoti Baishya		Nov-2016	2016-11-01	2016-11-30		RVRA7											
GU211336	Cellulosilyticum ruminicola strain CGMCC 1.5065 clone CGSCsYakCAS_06194 gh18 chitinase-like domain gene, partial cds.	Cellulosilyticum ruminicola	425254	1;131567;2;1783272;1239;186801;3085636;3018741;698776;425254				rumen	false	yak											CGMCC 1.5065											
OQ831738	Endoconidioma populi isolate GH18 internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence.	Endoconidioma populi	290613	1;131567;2759;33154;4751;451864;4890;716545;147538;716546;715962;147541;451867;5014;41253;290612;290613	Iran			Zagros forests	false	Querqus infectoria					Ghobadi and Jamali		2022	2022-01-01	2022-12-31	GH18												
KT899340	Gymnocypris potanini microsatellite GH18 sequence.	Gymnocypris potanini	263516	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263516					false																							
JX845697	Gambusia holbrooki clone Gh18 microsatellite sequence.	Gambusia holbrooki	37273	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;1489388;123365;123366;123367;123368;123369;1489872;1489908;1489913;28738;8087;8079;586240;33527;37273	Australia				false																							
AB353142	Ciona intestinalis Ci-GH18 mRNA for chitinase, complete cds.	Ciona intestinalis	7719	1;131567;2759;33154;33208;6072;33213;33511;7711;7712;7713;7716;7717;7718;7719					false																							
MW674691	Halorubrum sp. strain GH18 16S ribosomal RNA gene, partial sequence.	Halorubrum sp.	1879286	1;131567;2157;3366610;28890;2290931;183963;2235;1644056;56688;2642239;1879286					false												GH18											
AB301018	Bacillus pumilus gene for 16S rRNA, partial sequence, strain: GH18.	Bacillus pumilus	1408	1;131567;2;1783272;1239;91061;1385;186817;1386;1408					false												GH18											
OP730331	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia5) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
MW684113	Uncultured bacterium clone GH18-2 GH18 gene, complete cds.	uncultured bacterium	77133	1;131567;2;48479;77133				rumen	true	Ovis aries	9940																					
OP730341	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia15) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
MW684116	Uncultured bacterium clone GH18-8 GH18 gene, complete cds.	uncultured bacterium	77133	1;131567;2;48479;77133				rumen	true	Ovis aries	9940																					
OP730327	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia1) mRNA, partial cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
MN267596	Gymnocypris eckloni isolate GH18 D-loop, partial sequence mitochondrial.	Gymnocypris eckloni	263515	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263515	China			Qaidam water system	false											GH18												
MN267650	Gymnocypris eckloni isolate GH18 cytochrome b gene, partial cds mitochondrial.	Gymnocypris eckloni	263515	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;7898;186623;41665;32443;1489341;186625;186634;32519;186626;186627;7952;30727;7953;2743704;75347;263515	China			Qaidam water system	false											GH18												
OP730332	Plasmodiophora brassicae isolate ZJ-1 GH18 chitinase (Chia6) mRNA, complete cds.	Plasmodiophora brassicae	37360	1;131567;2759;2698737;543769;2604748;2779609;37357;37358;37359;37360	China				false											ZJ-1												
